ar;kod;namn;kommunvalkrets_kod;kommunvalkrets;lokal;adress1;adress2;adress3;postort;tillganglighet;status;x_rt90;y_rt90;latitud;longitud;koord_kalla;valdag;dag;oppetpass;aktiv_rd;aktiv_rf;aktiv_kf;aktiv_eu;valdag_eu;kommun_klar;lokal_klar;valnamnd;hemsida;telnr;kalla_fil
2014;14801094;Majorna-Linné, Långgatorna;148003;Göteborg, Centrum;Hagaskolan;Sal 117;Skolgatan 22;;;;E;6403470;1270679;57.697461;11.958305;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801095;Majorna-Linné, Olivedal;148003;Göteborg, Centrum;Oscar Fredriks församl.hem;Stora salen;Oscar Fredriks kyrkogata 1;;;;E;6403444;1270016;57.696890;11.947237;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801096;Majorna-Linné, Risåsen;148003;Göteborg, Centrum;Handelshögskolan;B 34;Vasagatan 1;;;;E;6403447;1270866;57.697350;11.961456;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801097;Majorna-Linné, Sveaplan;148003;Göteborg, Centrum;Annedals äldreboende;Restaurang Mejram;Carl Grimbergsgatan 11;;;;E;6402945;1270725;57.692781;11.959574;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801101;Centrum, Framnäs;148003;Göteborg, Centrum;Krokslätts äldreboende;;Fredriksdalsgatan 3 A;;;;E;6401711;1272869;57.682812;11.996606;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801102;Centrum, Fredriksdal;148003;Göteborg, Centrum;Krokslätts äldreboende;;Fredriksdalsgatan 3 A;;;;E;6401711;1272869;57.682812;11.996606;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801103;Centrum, Fridkullagatan m fl;148003;Göteborg, Centrum;Framnäsgården;Poseidonsalen;Glasmästaregatan 6 C;;;;E;6401813;1272586;57.683583;11.991776;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801104;Centrum, Getebergsäng;148003;Göteborg, Centrum;Burgårdens gymnasium;Elevmatsalen;Skånegatan 20;;;;E;6403683;1272375;57.700230;11.986482;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801105;Centrum, Kristinehöjd;148003;Göteborg, Centrum;Burgårdens gymnasium;Restaurangen;Skånegatan 20;;;;E;6403683;1272375;57.700230;11.986482;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801106;Centrum, Krokslätt;148003;Göteborg, Centrum;Framnäsgården;Dagvården;Glasmästaregatan 6 B;;;;E;6401803;1272571;57.683486;11.991535;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
