kod_2014;namn_2014;kod_2018;namn_2018;procent_officiell;andel_av_2014_geo;andel_av_2018_geo;diff_geo_minus_officiell;status;indelning_2018
14801033;Majorna-Linné, Hängmattan;14801035;Majorna-Linné, Hängmattan;76.1;0.7104;1.0000;-0.0506;bada;M
14801033;Majorna-Linné, Hängmattan;14801036;Majorna-Linné, Majorna;23.9;0.2896;0.0712;0.0506;bada;M
14801034;Majorna-Linné, Majorna;14801036;Majorna-Linné, Majorna;57.2;0.8935;0.9288;0.3215;bada;M
14801034;Majorna-Linné, Majorna;14801031;Majorna-Linné, Chapmans Torg;42.8;0.1065;0.7148;-0.3215;bada;M
14801035;Majorna-Linné, Marieberg;14801037;Majorna-Linné, Marieberg;83.2;0.5446;1.0000;-0.2874;bada;M
14801035;Majorna-Linné, Marieberg;14801033;Majorna-Linné, Gråberget, Västra;16.8;0.4554;0.4190;0.2874;bada;M
14801036;Majorna-Linné, Slottsskogsgatan m fl;14801038;Majorna-Linné, Slottsskogsgatan m fl;62.2;0.8128;1.0000;0.1908;bada;M
14801036;Majorna-Linné, Slottsskogsgatan m fl;14801031;Majorna-Linné, Chapmans Torg;26.5;0.1324;0.2852;-0.1326;bada;M
14801036;Majorna-Linné, Slottsskogsgatan m fl;14801034;Majorna-Linné, Gråberget, Östra;11.3;0.0549;0.0667;-0.0581;bada;M
14801041;Majorna-Linné, Djurgårdsgatan m fl;14801041;Majorna-Linné, Djurgårdsgatan m fl;70.6;0.6124;1.0000;-0.0936;bada;M
14801041;Majorna-Linné, Djurgårdsgatan m fl;14801045;Majorna-Linné, Söderlingska ängen;29.4;0.3876;0.4156;0.0936;bada;M
14801042;Majorna-Linné, Gatenhielmska;14801042;Majorna-Linné, Gatenhielmska;100.0;1.0000;1.0000;-0.0000;bada;O
14801043;Majorna-Linné, Karl Johans torg;14801044;Majorna-Linné, Klareborgsgatan m fl;67.9;0.5336;1.0000;-0.1454;bada;M
14801043;Majorna-Linné, Karl Johans torg;14801043;Majorna-Linné, Karl Johans torg;32.1;0.4664;0.4055;0.1454;bada;M
14801044;Majorna-Linné, Söderlingska ängen;14801043;Majorna-Linné, Karl Johans torg;44.5;0.6199;0.5945;0.1749;bada;M
14801044;Majorna-Linné, Söderlingska ängen;14801045;Majorna-Linné, Söderlingska ängen;55.5;0.3801;0.5844;-0.1749;bada;M
14801051;Majorna-Linné, Masthugget, Nedre;14801051;Majorna-Linné, Masthugget, Nedre;76.4;0.7350;1.0000;-0.0290;bada;M
14801051;Majorna-Linné, Masthugget, Nedre;14801054;Majorna-Linné, Oscar Fredrik;23.6;0.2650;0.3336;0.0290;bada;M
14801052;Majorna-Linné, Masthugget, Övre;14801052;Majorna-Linné, Masthugget, Övre;62.5;0.7005;0.6572;0.0755;bada;M
14801052;Majorna-Linné, Masthugget, Övre;14801055;Majorna-Linné, Sjömansgatan m fl;37.5;0.2995;0.5253;-0.0755;bada;M
14801053;Majorna-Linné, Masthuggstorget;14801053;Majorna-Linné, Masthuggstorget;100.0;1.0000;1.0000;-0.0000;bada;O
14801054;Majorna-Linné, Oscar Fredrik;14801054;Majorna-Linné, Oscar Fredrik;57.5;0.6490;0.6664;0.0740;bada;M
14801054;Majorna-Linné, Oscar Fredrik;14801055;Majorna-Linné, Sjömansgatan m fl;42.5;0.3510;0.4747;-0.0740;bada;M
14801055;Majorna-Linné, Slottsskogen;14801056;Majorna-Linné, Slottsskogen;100.0;1.0000;1.0000;-0.0000;bada;O
14801056;Majorna-Linné, Stigberget;14801057;Majorna-Linné, Stigberget;78.1;0.7808;1.0000;-0.0002;bada;M
14801056;Majorna-Linné, Stigberget;14801052;Majorna-Linné, Masthugget, Övre;21.9;0.2192;0.3428;0.0002;bada;M
14801057;Majorna-Linné, Vegastaden;14801058;Majorna-Linné, Vegastaden;100.0;1.0000;1.0000;-0.0000;bada;O
14801061;Majorna-Linné, Änggården;14801061;Majorna-Linné, Änggården;100.0;1.0000;1.0000;-0.0000;bada;O
14801071;Majorna-Linné, Haga;14801071;Majorna-Linné, Haga Västra;71.2;0.7820;0.6366;0.0700;bada;M
14801071;Majorna-Linné, Haga;14801073;Majorna-Linné, Skansberget;28.8;0.1680;0.1777;-0.1200;bada;M
14801071;Majorna-Linné, Haga;14801072;Majorna-Linné, Haga Östra;;0.0500;0.0351;;bara_geo;M
14801072;Majorna-Linné, Skansberget;14801072;Majorna-Linné, Haga Östra;60.1;0.5291;0.9649;-0.0719;bada;M
14801072;Majorna-Linné, Skansberget;14801073;Majorna-Linné, Skansberget;38.4;0.2991;0.8223;-0.0849;bada;M
14801072;Majorna-Linné, Skansberget;14801071;Majorna-Linné, Haga Västra;1.5;0.1718;0.3634;0.1568;bada;M
14801081;Majorna-Linné, Annedal;14801082;Majorna-Linné, Annedal, Södra;58.8;0.7891;1.0000;0.2011;bada;M
14801081;Majorna-Linné, Annedal;14801081;Majorna-Linné, Annedal, Norra;41.2;0.2109;0.4324;-0.2011;bada;M
14801082;Majorna-Linné, Nilssonsberg;14801083;Majorna-Linné, Nilssonsberg;74.4;0.5321;1.0000;-0.2119;bada;M
14801082;Majorna-Linné, Nilssonsberg;14801081;Majorna-Linné, Annedal, Norra;25.6;0.4679;0.5676;0.2119;bada;M
