kod_2018;namn_2018;indelning_officiell;klass_geo;antal_2014_stora;storsta_kod_2014;andel_av_2018;andel_av_2014;samma_kod_och_yta
14801058;Majorna-Linné, Vegastaden;O;identisk;1;14801057;1.0000;1.0000;nej
14801061;Majorna-Linné, Änggården;O;identisk;1;14801061;1.0000;1.0000;ja
14801071;Majorna-Linné, Haga Västra;M;omritning;2;14801071;0.6366;0.7820;nej
14801072;Majorna-Linné, Haga Östra;M;omritning;2;14801072;0.9649;0.5291;nej
14801073;Majorna-Linné, Skansberget;M;omritning;2;14801072;0.8223;0.2991;nej
14801081;Majorna-Linné, Annedal, Norra;M;omritning;2;14801082;0.5676;0.4679;nej
14801082;Majorna-Linné, Annedal, Södra;M;delning;1;14801081;1.0000;0.7891;nej
14801083;Majorna-Linné, Nilssonsberg;M;delning;1;14801082;1.0000;0.5321;nej
14801091;Majorna-Linné, Kommendantsängen;O;identisk;1;14801091;1.0000;1.0000;ja
14801092;Majorna-Linné, Linné;M;omritning;2;14801092;0.6259;0.4985;nej
14801093;Majorna-Linné, Linnéplatsen;M;omritning;2;14801093;0.8223;1.0000;nej
14801094;Majorna-Linné, Långgatorna;M;delning;1;14801094;1.0000;0.9332;nej
14801095;Majorna-Linné, Olivedal;M;omritning;2;14801095;0.8290;0.6238;nej
14801096;Majorna-Linné, Plantagegatan, m fl;M;omritning;2;14801092;0.5285;0.3429;nej
14801097;Majorna-Linné, Risåsen;O;identisk;1;14801096;1.0000;1.0000;nej
14801098;Majorna-Linné, Sveaplan;O;identisk;1;14801097;1.0000;1.0000;nej
14801100;Centrum, Framnäs;M;omritning;2;14801101;0.5383;0.3680;nej
14801101;Centrum, Fredriksdal;M;omritning;2;14801102;0.9071;0.3880;nej
14801102;Centrum, Fridkullagatan m fl;M;omritning;4;14801107;0.4750;0.7664;nej
14801103;Centrum, Getebergsäng;O;identisk;1;14801104;1.0000;1.0000;nej
14801104;Centrum, Kristinehöjd, Västra;O;identisk;1;14801105;1.0000;1.0000;nej
14801105;Centrum, Kristinehöjd, Östra;M;delning;1;14801106;1.0000;0.9437;nej
14801106;Centrum, Krokslätt, Norra;M;delning;1;14801101;1.0000;0.5857;nej
14801107;Centrum, Krokslätt, Södra;M;delning;1;14801102;1.0000;0.6091;nej
14801108;Centrum, Mossen;M;omritning;2;14801107;0.8338;0.1338;nej
14801109;Centrum, Olofshöjd;O;identisk;1;14801108;1.0000;1.0000;nej
14801111;Centrum, Eklanda Norra;M;delning;1;14801111;1.0000;0.6718;nej
14801112;Centrum, Eklanda Södra;M;omritning;2;14801111;0.8047;0.3282;nej
14801113;Centrum, Johanneberg, Nedre;M;delning;1;14801112;1.0000;0.1772;nej
14801114;Centrum, Johanneberg, Västra;M;omritning;2;14801112;0.8924;0.8228;nej
14801115;Centrum, Johanneberg, Östra;M;omritning;2;14801114;0.5129;0.3222;nej
14801116;Centrum, Johanneberg, Övre;M;delning;1;14801114;1.0000;0.6778;nej
14801121;Centrum, Landala;O;identisk;1;14801121;1.0000;1.0000;ja
