ar;val;kod;namn;summa_kategorier;rostberattigade_resultatfil;diff;kalla_fil
2010;rd;14800934;Majorna, Gråberget;1601;1601;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800935;Majorna, Marieberg;1861;1861;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800936;Majorna, Godhem;1194;1194;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800941;Majorna, Söderlingska ängen;1350;1350;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800942;Majorna, Karl Johans torg;1724;1724;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800943;Majorna, Djurgårdsgatan m fl;1507;1507;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800944;Majorna, Gatenhielmska;1219;1219;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801011;Högsbo, Södra Kaverös;1581;1581;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801012;Högsbo, Norra Kaverös;1771;1771;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801021;Högsbo, Östra Flatås;1230;1230;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801022;Högsbo, Västra Flatås;1489;1489;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801031;Högsbo, Södra Högsbohöjd;1444;1444;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801032;Högsbo, Norra Högsbohöjd;1404;1404;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801041;Högsbo, Högsbo;1320;1320;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801042;Högsbo, Västra Högsbotorp;1358;1358;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801043;Högsbo, Marklandsgatan m fl;1501;1501;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801044;Högsbo, Östra Högsbotorp;1317;1317;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801111;Älvsborg, Södra Fiskebäck;957;957;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801112;Älvsborg, Norra Fiskebäck;1409;1409;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801113;Älvsborg, Påvelund;1626;1626;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801114;Älvsborg, Björnekulla;1437;1437;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801121;Älvsborg, Långedrag;1515;1515;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801131;Älvsborg, Tångudden;1329;1329;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801132;Älvsborg, Nya Varvet;1906;1906;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801133;Älvsborg, Hagen;993;993;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801141;Älvsborg, Grimmered;1628;1628;0;slutligt_valresultat_valdistrikt_R.xls
