kod_2010;namn_2010;kod_2006_troligast;namn_2006;typ;belagg
14800531;Härlanda, Torpa;14803702;Torpa 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 266,34,152,53,473,104,121,36 (summa 1239) mot 2006 14803702, geometri 100.0/100.0 procent, namn olika
14800532;Härlanda, Fräntorp;14803701;Torpa 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 123,18,90,48,312,50,63,29 (summa 733) mot 2006 14803701, geometri 100.0/100.0 procent, namn olika
14800541;Härlanda, Södra Björkekärr;14802804;Björkekärr 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 412,51,259,140,431,63,159,20 (summa 1535) mot 2006 14802804, geometri 100.0/99.8 procent, namn olika
14800542;Härlanda, Västra Björkekärr;14802801;Björkekärr 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 223,53,165,86,372,144,169,26 (summa 1238) mot 2006 14802801, geometri 100.0/100.0 procent, namn olika
14800543;Härlanda, Norra Björkekärr;14802802;Björkekärr 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 143,27,94,55,287,34,64,20 (summa 724) mot 2006 14802802, geometri 100.0/100.0 procent, namn olika
14800544;Härlanda, Robertshöjd;14802803;Björkekärr 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 158,33,100,70,530,101,120,49 (summa 1161) mot 2006 14802803, geometri 100.0/100.0 procent, namn olika
14800611;Örgryte, Gubbero;14805701;Olskroken 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 398,39,171,62,436,71,124,28 (summa 1329) mot 2006 14805701, geometri 100.0/100.0 procent, namn olika
14800612;Örgryte, Olskroken;14805702;Olskroken 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 215,16,77,39,437,63,67,31 (summa 945) mot 2006 14805702, geometri 100.0/100.0 procent, namn olika
14800613;Örgryte, Redberget;14805703;Olskroken 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 263,37,133,38,485,108,130,45 (summa 1239) mot 2006 14805703, geometri 100.0/100.0 procent, namn olika
14800621;Örgryte, Bagaregården;14802503;Bagaregården-Redbergslid 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 174,28,93,31,236,66,103,20 (summa 751) mot 2006 14802503, geometri 100.0/100.0 procent, namn olika
14800622;Örgryte, Ånäs;14802504;Bagaregården-Redbergslid 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 180,27,98,31,280,70,109,18 (summa 813) mot 2006 14802504, geometri 100.0/100.0 procent, namn olika
14800631;Örgryte, Strömmensberg;14802502;Bagaregården-Redbergslid 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 196,39,134,69,315,64,108,32 (summa 957) mot 2006 14802502, geometri 100.0/100.0 procent, namn olika
