ar;val;kod;namn;ogiltiga_ej_anmalda;blanka;ogiltiga_ovriga;kalla_fil
2018;kf;14801122;Centrum, Landalabergen m fl;2;15;1;2018_K_per_valdistrikt.xlsx
2018;kf;14801123;Centrum, Landalagången m fl;0;12;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801131;Centrum, Doktor Forselius Backe m fl;0;5;1;2018_K_per_valdistrikt.xlsx
2018;kf;14801132;Centrum, Guldheden Vattentornet;1;10;1;2018_K_per_valdistrikt.xlsx
2018;kf;14801133;Centrum, Guldheden Östra;3;8;2;2018_K_per_valdistrikt.xlsx
2018;kf;14801134;Centrum, Guldheden, Centrala;0;12;2;2018_K_per_valdistrikt.xlsx
2018;kf;14801135;Centrum, Guldheden, Norra;1;4;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801136;Centrum, Guldheden, Södra;1;8;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801137;Centrum, Landala Egnahem;1;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801141;Centrum, Lorensberg;0;9;1;2018_K_per_valdistrikt.xlsx
2018;kf;14801151;Centrum, Fogelbergsparken;0;7;1;2018_K_per_valdistrikt.xlsx
2018;kf;14801152;Centrum, Valand;1;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801153;Centrum, Vasastaden, Norra;0;13;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801154;Centrum, Vasastaden, Södra;0;3;2;2018_K_per_valdistrikt.xlsx
2018;kf;14801155;Centrum, Vasastaden, Östra;1;3;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801161;Centrum, Inom Vallgraven;0;8;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801162;Centrum, Nordstan;0;5;1;2018_K_per_valdistrikt.xlsx
2018;kf;14801163;Centrum, Otterhällan;0;9;3;2018_K_per_valdistrikt.xlsx
2018;kf;14801171;Centrum, Friggagatan m fl;0;8;1;2018_K_per_valdistrikt.xlsx
2018;kf;14801172;Centrum, Gårda, Norra;0;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801173;Centrum, Odinsgatan m fl;0;7;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801174;Centrum, Stampen;1;15;2;2018_K_per_valdistrikt.xlsx
2018;kf;14801175;Centrum, Svingeln;1;10;1;2018_K_per_valdistrikt.xlsx
2018;kf;14801181;Centrum, Bohusgatan m fl;1;10;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801182;Centrum, Gårda, Södra;0;8;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801183;Centrum, Heden;2;3;1;2018_K_per_valdistrikt.xlsx
2018;kf;14801184;Centrum, Hedås;1;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801185;Centrum, Sten Sturegatan m fl;1;5;1;2018_K_per_valdistrikt.xlsx
2018;kf;14802011;Örgryte-Härlanda, Gubbero;0;9;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802012;Örgryte-Härlanda, Olskroken;0;6;1;2018_K_per_valdistrikt.xlsx
2018;kf;14802013;Örgryte-Härlanda, Redberget;0;12;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802014;Örgryte-Härlanda, Redbergsplatsen;1;7;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802021;Örgryte-Härlanda, Bagaregården;2;6;1;2018_K_per_valdistrikt.xlsx
2018;kf;14802022;Örgryte-Härlanda, Ånäs;1;7;0;2018_K_per_valdistrikt.xlsx
2018;kf;14802031;Örgryte-Härlanda, Strömmensberg, V;0;10;1;2018_K_per_valdistrikt.xlsx
