ar;val;kod;namn;kon;medborgarskap;aldersgrupp;antal
2014;rd;14801031;Majorna-Linné, Godhem;Kvinnor;Ej svenska medborgare;65-;0
2014;rd;14801032;Majorna-Linné, Gråberget;Män;Svenska medborgare;18-29 förstagångsväljare;19
2014;rd;14801032;Majorna-Linné, Gråberget;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;16
2014;rd;14801032;Majorna-Linné, Gråberget;Män;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801032;Majorna-Linné, Gråberget;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801032;Majorna-Linné, Gråberget;Män;Svenska medborgare;18-29 ej förstagångsväljare;119
2014;rd;14801032;Majorna-Linné, Gråberget;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;144
2014;rd;14801032;Majorna-Linné, Gråberget;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801032;Majorna-Linné, Gråberget;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801032;Majorna-Linné, Gråberget;Män;Svenska medborgare;30-49;307
2014;rd;14801032;Majorna-Linné, Gråberget;Kvinnor;Svenska medborgare;30-49;257
2014;rd;14801032;Majorna-Linné, Gråberget;Män;Ej svenska medborgare;30-49;0
2014;rd;14801032;Majorna-Linné, Gråberget;Kvinnor;Ej svenska medborgare;30-49;0
2014;rd;14801032;Majorna-Linné, Gråberget;Män;Svenska medborgare;50-64;150
2014;rd;14801032;Majorna-Linné, Gråberget;Kvinnor;Svenska medborgare;50-64;169
2014;rd;14801032;Majorna-Linné, Gråberget;Män;Ej svenska medborgare;50-64;0
2014;rd;14801032;Majorna-Linné, Gråberget;Kvinnor;Ej svenska medborgare;50-64;0
2014;rd;14801032;Majorna-Linné, Gråberget;Män;Svenska medborgare;65-;157
2014;rd;14801032;Majorna-Linné, Gråberget;Kvinnor;Svenska medborgare;65-;247
2014;rd;14801032;Majorna-Linné, Gråberget;Män;Ej svenska medborgare;65-;0
2014;rd;14801032;Majorna-Linné, Gråberget;Kvinnor;Ej svenska medborgare;65-;0
2014;rd;14801033;Majorna-Linné, Hängmattan;Män;Svenska medborgare;18-29 förstagångsväljare;33
2014;rd;14801033;Majorna-Linné, Hängmattan;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;33
2014;rd;14801033;Majorna-Linné, Hängmattan;Män;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801033;Majorna-Linné, Hängmattan;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801033;Majorna-Linné, Hängmattan;Män;Svenska medborgare;18-29 ej förstagångsväljare;83
2014;rd;14801033;Majorna-Linné, Hängmattan;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;100
2014;rd;14801033;Majorna-Linné, Hängmattan;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801033;Majorna-Linné, Hängmattan;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801033;Majorna-Linné, Hängmattan;Män;Svenska medborgare;30-49;302
2014;rd;14801033;Majorna-Linné, Hängmattan;Kvinnor;Svenska medborgare;30-49;306
2014;rd;14801033;Majorna-Linné, Hängmattan;Män;Ej svenska medborgare;30-49;0
2014;rd;14801033;Majorna-Linné, Hängmattan;Kvinnor;Ej svenska medborgare;30-49;0
2014;rd;14801033;Majorna-Linné, Hängmattan;Män;Svenska medborgare;50-64;166
2014;rd;14801033;Majorna-Linné, Hängmattan;Kvinnor;Svenska medborgare;50-64;200
2014;rd;14801033;Majorna-Linné, Hängmattan;Män;Ej svenska medborgare;50-64;0
2014;rd;14801033;Majorna-Linné, Hängmattan;Kvinnor;Ej svenska medborgare;50-64;0
2014;rd;14801033;Majorna-Linné, Hängmattan;Män;Svenska medborgare;65-;103
2014;rd;14801033;Majorna-Linné, Hängmattan;Kvinnor;Svenska medborgare;65-;154
2014;rd;14801033;Majorna-Linné, Hängmattan;Män;Ej svenska medborgare;65-;0
2014;rd;14801033;Majorna-Linné, Hängmattan;Kvinnor;Ej svenska medborgare;65-;0
2014;rd;14801034;Majorna-Linné, Majorna;Män;Svenska medborgare;18-29 förstagångsväljare;34
2014;rd;14801034;Majorna-Linné, Majorna;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;37
2014;rd;14801034;Majorna-Linné, Majorna;Män;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801034;Majorna-Linné, Majorna;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801034;Majorna-Linné, Majorna;Män;Svenska medborgare;18-29 ej förstagångsväljare;166
2014;rd;14801034;Majorna-Linné, Majorna;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;189
2014;rd;14801034;Majorna-Linné, Majorna;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801034;Majorna-Linné, Majorna;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801034;Majorna-Linné, Majorna;Män;Svenska medborgare;30-49;263
2014;rd;14801034;Majorna-Linné, Majorna;Kvinnor;Svenska medborgare;30-49;228
2014;rd;14801034;Majorna-Linné, Majorna;Män;Ej svenska medborgare;30-49;0
2014;rd;14801034;Majorna-Linné, Majorna;Kvinnor;Ej svenska medborgare;30-49;0
2014;rd;14801034;Majorna-Linné, Majorna;Män;Svenska medborgare;50-64;155
2014;rd;14801034;Majorna-Linné, Majorna;Kvinnor;Svenska medborgare;50-64;149
2014;rd;14801034;Majorna-Linné, Majorna;Män;Ej svenska medborgare;50-64;0
2014;rd;14801034;Majorna-Linné, Majorna;Kvinnor;Ej svenska medborgare;50-64;0
2014;rd;14801034;Majorna-Linné, Majorna;Män;Svenska medborgare;65-;152
2014;rd;14801034;Majorna-Linné, Majorna;Kvinnor;Svenska medborgare;65-;243
2014;rd;14801034;Majorna-Linné, Majorna;Män;Ej svenska medborgare;65-;0
2014;rd;14801034;Majorna-Linné, Majorna;Kvinnor;Ej svenska medborgare;65-;0
2014;rd;14801035;Majorna-Linné, Marieberg;Män;Svenska medborgare;18-29 förstagångsväljare;33
2014;rd;14801035;Majorna-Linné, Marieberg;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;31
2014;rd;14801035;Majorna-Linné, Marieberg;Män;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801035;Majorna-Linné, Marieberg;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801035;Majorna-Linné, Marieberg;Män;Svenska medborgare;18-29 ej förstagångsväljare;110
