kod_2010;namn_2010;kod_2022;namn_2022;overlapp_m2;andel_av_2010;andel_av_2022
14800323;Kortedala, Fjällbo;14800212;Östra Göteborg, Fjällbo;427736.2;0.3770;1.0000
14800323;Kortedala, Fjällbo;14800214;Östra Göteborg, Utby;161660.4;0.1425;0.3364
14800323;Kortedala, Fjällbo;14800215;Östra Göteborg, Kamgatan m fl;797.8;0.0007;0.0024
14800323;Kortedala, Fjällbo;14800209;Östra Göteborg, Bergsjön Södra;140.5;0.0001;0.0001
14800331;Kortedala, Gregorianska gatan m fl;14800226;Östra Göteborg, Gregorianska G. m fl;213838.8;0.6792;0.8293
14800331;Kortedala, Gregorianska gatan m fl;14800228;Östra Göteborg, Kortedala Torg;100676.3;0.3198;0.5700
14800331;Kortedala, Gregorianska gatan m fl;14800224;Östra Göteborg, Kortedala Södra;242.6;0.0008;0.0008
14800331;Kortedala, Gregorianska gatan m fl;14800227;Östra Göteborg, Kortedala Västra;82.9;0.0003;0.0001
14800332;Kortedala, Västra Kortedala;14800227;Östra Göteborg, Kortedala Västra;806736.3;0.8773;0.9999
14800332;Kortedala, Västra Kortedala;14800234;Östra Göteborg, Söndagsgatan m fl;65722.3;0.0715;0.3616
14800332;Kortedala, Västra Kortedala;14800229;Östra Göteborg, Förstamajgatan m fl;46636.6;0.0507;0.1973
14800332;Kortedala, Västra Kortedala;14800228;Östra Göteborg, Kortedala Torg;285.3;0.0003;0.0016
14800332;Kortedala, Västra Kortedala;14800222;Östra Göteborg, Nylöse;75.5;0.0001;0.0000
14800332;Kortedala, Västra Kortedala;14800226;Östra Göteborg, Gregorianska G. m fl;42.8;0.0000;0.0002
14800332;Kortedala, Västra Kortedala;14800235;Östra Göteborg, Kortedala Norra;22.7;0.0000;0.0000
14800332;Kortedala, Västra Kortedala;14800233;Östra Göteborg, Adventsparken Västra;8.5;0.0000;0.0001
14800333;Kortedala, Östra Kortedala;14800230;Östra Göteborg, Kortedala Östra;551144.1;0.7344;0.8812
14800333;Kortedala, Östra Kortedala;14800229;Östra Göteborg, Förstamajgatan m fl;178708.3;0.2381;0.7560
14800333;Kortedala, Östra Kortedala;14800231;Östra Göteborg, Månadsgatorna m fl;20516.3;0.0273;0.0558
14800333;Kortedala, Östra Kortedala;14800225;Östra Göteborg, Månadsparken;53.6;0.0001;0.0002
14800333;Kortedala, Östra Kortedala;14800202;Östra Göteborg, Gärdsmosse;21.5;0.0000;0.0000
14800333;Kortedala, Östra Kortedala;14800208;Östra Göteborg, Gärdsås;17.6;0.0000;0.0000
14800333;Kortedala, Östra Kortedala;14800233;Östra Göteborg, Adventsparken Västra;9.6;0.0000;0.0001
14800333;Kortedala, Östra Kortedala;14800228;Östra Göteborg, Kortedala Torg;5.1;0.0000;0.0000
14800334;Kortedala, Kortedala Centrum;14800225;Östra Göteborg, Månadsparken;224277.0;0.7212;0.9997
14800334;Kortedala, Kortedala Centrum;14800228;Östra Göteborg, Kortedala Torg;75652.0;0.2433;0.4283
14800334;Kortedala, Kortedala Centrum;14800229;Östra Göteborg, Förstamajgatan m fl;11027.9;0.0355;0.0467
14800334;Kortedala, Kortedala Centrum;14800234;Östra Göteborg, Söndagsgatan m fl;6.1;0.0000;0.0000
14800334;Kortedala, Kortedala Centrum;14800227;Östra Göteborg, Kortedala Västra;4.1;0.0000;0.0000
14800334;Kortedala, Kortedala Centrum;14800230;Östra Göteborg, Kortedala Östra;3.5;0.0000;0.0000
